EventID,EventType,StartDateTime,EndDateTime,Borough,Category,SubCategoryName
446168,Shooting Permit,10/19/2018 02:00:00 PM,10/20/2018 02:00:00 AM,Manhattan,Film,Feature
186438,Shooting Permit,10/30/2014 07:00:00 AM,10/31/2014 02:00:00 AM,Queens,Television,Episodic series
445255,Shooting Permit,10/20/2018 07:00:00 AM,10/20/2018 06:00:00 PM,Brooklyn,Still Photography,Not Applicable
128794,Theater Load in and Load Outs,11/16/2013 12:01:00 AM,11/17/2013 06:00:00 AM,Manhattan,Theater,Theater
43547,Shooting Permit,01/10/2012 07:00:00 AM,01/10/2012 07:00:00 PM,Brooklyn,Television,Episodic series
66846,Shooting Permit,07/27/2012 07:00:00 AM,07/27/2012 07:00:00 PM,Brooklyn,Film,Feature
104342,Shooting Permit,06/21/2013 12:00:00 AM,06/21/2013 09:00:00 AM,Manhattan,Television,News
244863,Shooting Permit,09/16/2015 07:00:00 AM,09/16/2015 09:00:00 PM,Bronx,Television,Cable-episodic
446379,Shooting Permit,10/20/2018 06:00:00 AM,10/20/2018 10:00:00 PM,Manhattan,WEB,Not Applicable
446359,Shooting Permit,10/20/2018 12:01:00 AM,10/20/2018 12:00:00 PM,Manhattan,Television,News
203743,Shooting Permit,02/20/2015 06:00:00 AM,02/20/2015 07:00:00 PM,Queens,Still Photography,Not Applicable
446069,Shooting Permit,10/20/2018 06:00:00 AM,10/20/2018 09:00:00 PM,Brooklyn,Commercial,Promo
445165,Theater Load in and Load Outs,10/20/2018 12:01:00 AM,10/21/2018 06:00:00 AM,Manhattan,Theater,Theater
82397,Shooting Permit,01/07/2013 07:00:00 AM,01/07/2013 09:00:00 PM,Brooklyn,Television,Episodic series
137539,Shooting Permit,01/29/2014 12:01:00 AM,02/01/2014 06:00:00 AM,Manhattan,Theater,Theater
446355,Shooting Permit,10/19/2018 04:30:00 PM,10/20/2018 08:00:00 AM,Manhattan,Television,Episodic series
446372,DCAS Prep/Shoot/Wrap Permit,10/19/2018 06:30:00 PM,10/19/2018 11:59:00 PM,Brooklyn,Television,Episodic series
220618,Shooting Permit,05/08/2015 07:30:00 AM,05/08/2015 04:00:00 PM,Queens,Television,Variety
446318,Shooting Permit,10/20/2018 07:00:00 AM,10/20/2018 07:00:00 PM,Manhattan,Still Photography,Not Applicable
446056,Shooting Permit,10/19/2018 09:00:00 PM,10/20/2018 05:00:00 AM,Manhattan,Television,Episodic series
444612,Theater Load in and Load Outs,10/20/2018 06:00:00 AM,10/23/2018 11:00:00 PM,Manhattan,Theater,Theater
446007,Shooting Permit,10/19/2018 03:00:00 PM,10/20/2018 09:00:00 AM,Manhattan,Television,Cable-episodic
254555,Shooting Permit,11/20/2015 04:00:00 PM,11/21/2015 06:00:00 AM,Brooklyn,Television,Episodic series
239175,Shooting Permit,08/10/2015 06:00:00 AM,08/11/2015 02:00:00 AM,Brooklyn,Television,Episodic series
446506,DCAS Prep/Shoot/Wrap Permit,10/20/2018 01:00:00 AM,10/20/2018 08:00:00 PM,Brooklyn,Film,Feature
446135,Shooting Permit,10/19/2018 12:30:00 PM,10/19/2018 03:00:00 PM,Manhattan,Television,Episodic series
446345,DCAS Prep/Shoot/Wrap Permit,10/20/2018 10:00:00 AM,10/20/2018 11:00:00 PM,Staten Island,WEB,Not Applicable
241353,Shooting Permit,08/24/2015 06:00:00 AM,08/24/2015 10:00:00 PM,Manhattan,Television,Pilot
103691,Shooting Permit,05/24/2013 07:00:00 AM,05/24/2013 05:00:00 PM,Manhattan,Film,Not Applicable
194860,Shooting Permit,01/08/2015 10:00:00 AM,01/09/2015 02:00:00 AM,Queens,Television,Episodic series
148775,Shooting Permit,04/01/2014 07:00:00 AM,04/01/2014 09:00:00 PM,Brooklyn,Television,Episodic series
136405,Theater Load in and Load Outs,01/18/2014 10:00:00 AM,01/30/2014 10:00:00 PM,Manhattan,Theater,Theater
182135,Shooting Permit,09/21/2014 07:00:00 AM,09/21/2014 10:00:00 PM,Brooklyn,Film,Feature
144808,Shooting Permit,03/12/2014 10:00:00 AM,03/13/2014 01:00:00 AM,Manhattan,Film,Feature
124219,Shooting Permit,10/03/2013 10:00:00 AM,10/03/2013 11:59:00 PM,Brooklyn,Television,Episodic series
75908,Shooting Permit,10/30/2012 08:00:00 AM,10/30/2012 10:00:00 PM,Brooklyn,Television,Episodic series
207358,Shooting Permit,03/13/2015 06:00:00 AM,03/14/2015 02:00:00 AM,Manhattan,Television,Cable-episodic
245037,Shooting Permit,09/16/2015 09:00:00 AM,09/17/2015 01:00:00 AM,Brooklyn,Television,Episodic series
446350,Shooting Permit,10/19/2018 04:00:00 PM,10/20/2018 06:00:00 AM,Manhattan,Commercial,Commercial
446012,Shooting Permit,10/20/2018 06:00:00 AM,10/20/2018 10:00:00 PM,Manhattan,Television,Cable-episodic
89512,Shooting Permit,03/08/2013 06:00:00 AM,03/08/2013 10:00:00 PM,Brooklyn,Commercial,Commercial
446414,Shooting Permit,10/20/2018 06:00:00 AM,10/20/2018 09:00:00 PM,Brooklyn,Film,Feature
55030,Rigging Permit,04/26/2012 05:00:00 AM,04/27/2012 11:00:00 PM,Queens,Television,Episodic series
445825,Shooting Permit,10/20/2018 06:00:00 AM,10/20/2018 07:00:00 PM,Manhattan,Still Photography,Not Applicable
442468,Theater Load in and Load Outs,10/20/2018 12:01:00 AM,10/21/2018 06:00:00 AM,Brooklyn,Theater,Theater
253097,Shooting Permit,11/13/2015 05:00:00 PM,11/14/2015 02:00:00 AM,Brooklyn,Film,Short
443037,Theater Load in and Load Outs,10/20/2018 12:01:00 AM,10/20/2018 11:59:00 PM,Manhattan,Theater,Theater
55306,Shooting Permit,04/27/2012 05:00:00 AM,04/27/2012 10:00:00 PM,Brooklyn,Commercial,Promo
235029,Shooting Permit,07/15/2015 09:00:00 AM,07/15/2015 10:00:00 PM,Brooklyn,Television,Cable-episodic
255525,Shooting Permit,11/21/2015 09:00:00 AM,11/21/2015 10:00:00 PM,Manhattan,Commercial,Commercial
258076,Shooting Permit,12/11/2015 09:30:00 AM,12/12/2015 01:00:00 AM,Brooklyn,Film,Feature
134744,Shooting Permit,12/19/2013 05:00:00 AM,12/19/2013 07:00:00 PM,Brooklyn,Still Photography,Not Applicable
250925,Shooting Permit,11/02/2015 07:00:00 AM,11/02/2015 08:00:00 PM,Brooklyn,Television,Episodic series
222524,Shooting Permit,05/20/2015 05:00:00 AM,05/20/2015 11:00:00 PM,Manhattan,Television,Reality
351932,Theater Load in and Load Outs,06/27/2017 12:01:00 AM,06/29/2017 06:00:00 AM,Manhattan,Theater,Theater
313286,Shooting Permit,10/06/2016 08:00:00 AM,10/07/2016 12:00:00 AM,Manhattan,Television,Episodic series
257858,Shooting Permit,12/10/2015 06:00:00 AM,12/10/2015 09:00:00 PM,Manhattan,WEB,Not Applicable
172195,Shooting Permit,07/21/2014 07:00:00 AM,07/22/2014 10:00:00 PM,Brooklyn,Still Photography,Not Applicable
239908,Shooting Permit,08/11/2015 06:00:00 AM,08/11/2015 09:00:00 PM,Queens,Television,Episodic series
80779,Shooting Permit,12/13/2012 06:00:00 AM,12/13/2012 11:59:00 PM,Queens,Television,Cable-episodic
184857,Shooting Permit,10/15/2014 06:00:00 AM,10/15/2014 11:59:00 PM,Manhattan,Film,Feature
496687,Shooting Permit,07/11/2019 07:00:00 AM,07/11/2019 10:00:00 PM,Brooklyn,Television,Episodic series
130915,Shooting Permit,11/21/2013 08:00:00 AM,11/21/2013 11:00:00 PM,Manhattan,Film,Feature
446495,Shooting Permit,10/21/2018 06:00:00 AM,10/21/2018 11:00:00 PM,Brooklyn,Film,Feature
256015,Shooting Permit,11/30/2015 02:00:00 PM,12/01/2015 04:00:00 AM,Queens,Film,Feature
107528,Shooting Permit,06/17/2013 06:00:00 AM,06/17/2013 09:00:00 PM,Manhattan,Film,Feature
227207,Shooting Permit,06/09/2015 03:00:00 PM,06/10/2015 04:00:00 AM,Manhattan,Television,Cable-episodic
43997,Theater Load in and Load Outs,01/19/2012 07:00:00 AM,02/20/2012 10:00:00 PM,Manhattan,Theater,Theater
166027,Shooting Permit,06/17/2014 07:00:00 AM,06/17/2014 07:00:00 PM,Manhattan,Still Photography,Not Applicable
149023,Shooting Permit,03/31/2014 07:00:00 AM,03/31/2014 10:00:00 PM,Queens,Television,Episodic series
168182,DCAS Prep/Shoot/Wrap Permit,06/30/2014 06:00:00 AM,06/30/2014 09:00:00 PM,Manhattan,Television,Pilot
443487,Theater Load in and Load Outs,10/21/2018 12:01:00 AM,10/21/2018 11:59:00 PM,Brooklyn,Theater,Theater
446383,Shooting Permit,10/21/2018 09:30:00 AM,10/21/2018 05:00:00 PM,Manhattan,Film,Feature
153729,Shooting Permit,04/22/2014 06:00:00 AM,04/22/2014 10:00:00 PM,Queens,Television,Episodic series
166782,Shooting Permit,06/24/2014 06:00:00 AM,06/24/2014 10:00:00 PM,Brooklyn,Film,Feature
442083,Theater Load in and Load Outs,10/21/2018 08:00:00 AM,10/21/2018 11:59:00 PM,Brooklyn,Theater,Theater
69786,Shooting Permit,08/22/2012 07:00:00 AM,08/22/2012 11:00:00 PM,Manhattan,Television,Episodic series
55900,Shooting Permit,05/03/2012 09:00:00 AM,05/03/2012 07:00:00 PM,Brooklyn,Commercial,Commercial
